Datetime;Ambient Temperature [ºC];Global Radiation [W/m2];Diffuse Radiation [W/m2];Ultraviolet [W/m2];Wind Velocity [m/s];Wind Direction [º];Precipitation [mm];Atmospheric pressure [hPa]
2018-01-01T02:03:00+00:00;7.9;1.21936;1.644362;0.509828;1.366667;337.15896;0;1032.1
2018-01-01T02:02:00+00:00;7.9;1.524155;1.6445210000000001;0.5101300000000001;1.916667;331.99908;0;1032.1
2018-01-01T02:05:00+00:00;8.0;1.607761;1.662825;0.5088239999999999;2.95;329.16578;0;1032.0
2018-01-01T01:16:00+00:00;8.6;3.798227;3.069064;0.511069;3.0;333.16592;0;1031.5
2018-01-01T01:48:00+00:00;8.3;1.807837;1.64392;0.5068900000000001;3.15;323.156;0;1032.0
2018-01-01T01:04:00+00:00;9.6;1.425218;1.637067;0.506381;2.8;327.0;0;1031.3
2018-01-01T08:02:00+00:00;7.466667;17.056894;11.834002;1.838158;1.916667;303.95574;0;1032.5
2018-01-01T07:55:00+00:00;7.5;10.402032;8.658154;1.349465;2.866667;322.16128;0;1032.5
2018-01-01T08:10:00+00:00;7.5;30.539724;16.086244;2.514999;2.316667;332.66046;0;1032.7002
2018-01-01T08:14:00+00:00;7.5;37.169372;17.279584;2.879066;0.9833329999999999;29.48732;0;1032.7666
2018-01-01T08:09:00+00:00;7.5;28.18811;16.001306;2.423241;1.683333;350.94232;0;1032.7002
2018-01-01T08:11:00+00:00;7.5;31.518144;16.779276;2.5950860000000002;2.4;328.49896;0;1032.7002
2018-01-01T07:45:00+00:00;7.8;4.927745;4.392346;0.8499059999999999;2.083334;337.64476;0;1032.5
2018-01-01T07:51:00+00:00;7.6;8.18641;7.932504;1.120885;1.833333;338.07204;0;1032.5
2018-01-01T07:46:00+00:00;7.8;5.701147;5.057108;0.8888769999999999;2.65;332.33332;0;1032.5
2018-01-01T08:00:00+00:00;7.5;15.39835;11.557476;1.687368;2.9;323.66666;0;1032.5
2018-01-01T06:01:00+00:00;6.816667;1.8155540000000001;1.645798;0.510902;3.233333;329.83344;0;1032.1
2018-01-01T05:46:00+00:00;6.8;1.392099;1.633214;0.503628;2.216667;335.3366;0;1032.05
2018-01-01T06:38:00+00:00;6.65;1.697052;1.640404;0.5101;2.75;327.49988;0;1032.3168
